"Link:PlotId","Link:PlotAttributeId","AttributeName","AttributeValue"
"357","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"357","90","Tillage depth_f3","10 cm"
"357","87","Seeding start date_f4","2019-04-08"
"358","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"358","89","Crop variety_f1","v1"
"358","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"358","90","Tillage depth_f3","0 cm"
"358","87","Seeding start date_f4","2019-04-08"
"359","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"359","89","Crop variety_f1","v2"
"359","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"359","90","Tillage depth_f3","0 cm"
"359","87","Seeding start date_f4","2019-04-08"
"360","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"360","89","Crop variety_f1","v2"
"360","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"360","90","Tillage depth_f3","10 cm"
"360","87","Seeding start date_f4","2019-05-08"
"361","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"361","89","Crop variety_f1","v1"
"361","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"361","90","Tillage depth_f3","10 cm"
"361","87","Seeding start date_f4","2019-04-08"
"362","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"362","89","Crop variety_f1","v2"
"362","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"362","90","Tillage depth_f3","10 cm"
"362","87","Seeding start date_f4","2019-04-08"
"363","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"363","89","Crop variety_f1","v1"
"363","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"363","90","Tillage depth_f3","0 cm"
"363","87","Seeding start date_f4","2019-04-08"
"364","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"364","89","Crop variety_f1","v1"
"364","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"364","90","Tillage depth_f3","0 cm"
"364","87","Seeding start date_f4","2019-05-08"
"365","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"365","89","Crop variety_f1","v2"
"365","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"365","90","Tillage depth_f3","0 cm"
"365","87","Seeding start date_f4","2019-04-08"
"366","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"366","89","Crop variety_f1","v1"
"366","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"366","90","Tillage depth_f3","0 cm"
"366","87","Seeding start date_f4","2019-05-08"
"367","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"367","89","Crop variety_f1","v1"
"367","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"367","90","Tillage depth_f3","10 cm"
"367","87","Seeding start date_f4","2019-05-08"
"368","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"368","89","Crop variety_f1","v2"
"368","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"368","90","Tillage depth_f3","0 cm"
"368","87","Seeding start date_f4","2019-05-08"
"369","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"369","89","Crop variety_f1","v1"
"369","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"369","90","Tillage depth_f3","10 cm"
"369","87","Seeding start date_f4","2019-05-08"
"370","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"370","89","Crop variety_f1","v2"
"370","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"370","90","Tillage depth_f3","0 cm"
"370","87","Seeding start date_f4","2019-05-08"
"371","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"371","89","Crop variety_f1","v2"
"371","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"371","90","Tillage depth_f3","10 cm"
"371","87","Seeding start date_f4","2019-05-08"
"372","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"372","89","Crop variety_f1","v1"
"372","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"372","90","Tillage depth_f3","0 cm"
"372","87","Seeding start date_f4","2019-04-08"
"373","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"373","89","Crop variety_f1","v1"
"373","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"373","90","Tillage depth_f3","10 cm"
"373","87","Seeding start date_f4","2019-05-08"
"374","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"374","89","Crop variety_f1","v2"
"374","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"374","90","Tillage depth_f3","10 cm"
"374","87","Seeding start date_f4","2019-04-08"
"375","91","TREATMENT","v1_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"375","89","Crop variety_f1","v1"
"375","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"375","90","Tillage depth_f3","10 cm"
"375","87","Seeding start date_f4","2019-04-08"
"376","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-04-08"
"376","89","Crop variety_f1","v2"
"376","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"376","90","Tillage depth_f3","10 cm"
"376","87","Seeding start date_f4","2019-04-08"
"377","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"377","89","Crop variety_f1","v1"
"377","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"377","90","Tillage depth_f3","0 cm"
"377","87","Seeding start date_f4","2019-05-08"
"378","91","TREATMENT","v2_Irrigation sprinkler system_200mm_10 cm_2019-05-08"
"378","89","Crop variety_f1","v2"
"378","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"378","90","Tillage depth_f3","10 cm"
"378","87","Seeding start date_f4","2019-05-08"
"379","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-04-08"
"379","89","Crop variety_f1","v2"
"379","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"379","90","Tillage depth_f3","0 cm"
"379","87","Seeding start date_f4","2019-04-08"
"380","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"380","89","Crop variety_f1","v2"
"380","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"380","90","Tillage depth_f3","0 cm"
"380","87","Seeding start date_f4","2019-04-08"
"381","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"381","89","Crop variety_f1","v1"
"381","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"381","90","Tillage depth_f3","10 cm"
"381","87","Seeding start date_f4","2019-05-08"
"382","91","TREATMENT","v1_Irrigation sprinkler system_300mm_10 cm_2019-04-08"
"382","89","Crop variety_f1","v1"
"382","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"382","90","Tillage depth_f3","10 cm"
"382","87","Seeding start date_f4","2019-04-08"
"383","91","TREATMENT","v2_Irrigation sprinkler system_300mm_10 cm_2019-05-08"
"383","89","Crop variety_f1","v2"
"383","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"383","90","Tillage depth_f3","10 cm"
"383","87","Seeding start date_f4","2019-05-08"
"384","91","TREATMENT","v2_Irrigation sprinkler system_200mm_0 cm_2019-05-08"
"384","89","Crop variety_f1","v2"
"384","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"384","90","Tillage depth_f3","0 cm"
"384","87","Seeding start date_f4","2019-05-08"
"385","91","TREATMENT","v1_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"385","89","Crop variety_f1","v1"
"385","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"385","90","Tillage depth_f3","0 cm"
"385","87","Seeding start date_f4","2019-05-08"
"386","91","TREATMENT","v1_Irrigation sprinkler system_200mm_0 cm_2019-04-08"
"386","89","Crop variety_f1","v1"
"386","88","Irrigation amount_f2","Irrigation sprinkler system_200mm"
"386","90","Tillage depth_f3","0 cm"
"386","87","Seeding start date_f4","2019-04-08"
"387","91","TREATMENT","v2_Irrigation sprinkler system_300mm_0 cm_2019-05-08"
"387","89","Crop variety_f1","v2"
"387","88","Irrigation amount_f2","Irrigation sprinkler system_300mm"
"387","90","Tillage depth_f3","0 cm"
"387","87","Seeding start date_f4","2019-05-08"
